Time,Distance,TargetVelocity,ActualVelocity,StateOfCharge,BatteryPower,BatteryCurrent,MotorTorque,MotorSpeed,MilesPerGallon
1815,7.57967941156239,0,8.38816478807787e-17,100,1.7418981644176e-31,3.66057009427858e-33,2.32922237820602e-16,8.16668520380885e-15,259.95558324037
1816,7.57967941156239,0,7.21911725092095e-17,100,4.09028627623737e-32,8.59566875130082e-34,8.6979646039864e-17,7.02850498615049e-15,259.95558324037
1817,7.57967941156239,0,3.01554235529049e-17,100,2.53283879408022e-32,5.3227187057394e-34,1.33702580130024e-16,2.93592052094782e-15,259.95558324037
1818,7.57967941156239,0,-9.54955598914559e-18,100,-6.40388599424102e-33,-1.3457660175861e-34,4.41283859016932e-17,-9.29741124188981e-16,259.95558324037
1819,7.57967941156239,0,5.13141733594748e-17,100,7.54907251148402e-32,1.58642506431013e-33,9.78370322537652e-17,4.99592832172451e-15,259.95558324037
1820,7.57967941156239,0,8.69863266417317e-17,100,7.1692246040438e-32,1.50660065673261e-33,1.11111182603406e-16,8.46895554231831e-15,259.95558324037
1821,7.57967941156239,0,2.31605257203877e-17,100,8.11465983534986e-33,1.70528230210615e-34,5.53282902373769e-17,2.2548999392806e-15,259.95558324037
1822,7.57967941156239,0,4.65936005817987e-17,100,1.93479823475808e-32,4.06594639186981e-34,3.52944568103583e-17,4.53633515884646e-15,259.95558324037
1823,7.57967941156239,0,2.71607500710025e-17,100,6.78975582061741e-33,1.42685592143763e-34,3.89932623494718e-17,2.64436025439641e-15,259.95558324037
1824,7.57967941156239,0,4.41493320804892e-17,100,5.30665369868234e-32,1.11518447099255e-33,7.57650878175591e-17,4.29836211100944e-15,259.95558324037
1825,7.57967941156239,0,2.12164785806293e-17,100,6.04823703889207e-33,1.27102697964429e-34,4.51869693535026e-17,2.06562825217287e-15,259.95558324037
1826,7.57967941156239,0,3.89380570810117e-17,100,7.37775401740788e-32,1.55042276699893e-33,1.20566927442611e-16,3.79099436721284e-15,259.95558324037
1827,7.57967941156239,0,3.4191814850687e-17,100,1.39119785337569e-32,2.92357920877326e-34,5.85264298157587e-17,3.32890203622792e-15,259.95558324037
1828,7.57967941156239,0,4.01402628773886e-17,100,3.6456671027884e-32,7.6613089345693e-34,5.39623061004101e-17,3.9080406644334e-15,259.95558324037
1829,7.57967941156239,0,7.23268888305517e-17,100,6.84378623489276e-32,1.43821032336066e-33,1.21341281163356e-16,7.04171827536718e-15,259.95558324037
1830,7.57967941156239,0,7.08310163357594e-18,100,2.24746447834951e-33,4.7230093156165e-35,4.81670294493933e-17,6.89608070053832e-16,259.95558324037
1831,7.57967941156239,0,2.88636045820332e-17,100,3.74922635320828e-32,7.87893698126954e-34,1.15227356816871e-16,2.81014951928114e-15,259.95558324037
1832,7.57967941156239,0,3.0063420129363e-17,100,1.04804129581636e-32,2.20244139606006e-34,5.72113995999361e-17,2.9269631027673e-15,259.95558324037
1833,7.57967941156239,0,4.27190802320185e-17,100,2.90995178334148e-32,6.115215396334e-34,4.07934566201214e-17,4.15911333724635e-15,259.95558324037
1834,7.57967941156239,0,7.39650268807115e-17,100,4.33546976935686e-32,9.11091779447552e-34,7.74254752565815e-17,7.20120677033631e-15,259.95558324037
1835,7.57967941156239,0,-5.19246570439997e-18,100,-1.68609309478467e-33,-3.54329666625602e-35,5.68038297567899e-17,-5.05536478011005e-16,259.95558324037
1836,7.57967941156239,0,3.76055323107971e-17,100,5.62740148380259e-32,1.18258908591215e-33,1.17860083419564e-16,3.66126026446742e-15,259.95558324037
