Time,Distance,TargetVelocity,ActualVelocity,StateOfCharge,BatteryPower,BatteryCurrent,MotorTorque,MotorSpeed,MilesPerGallon
1802,7.45065229328673,0,2.01828452030336e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.96499410126811e-16,460.357369874877
1803,7.45065229328673,0,-3.59421261753635e-18,88.6841067293945,0,0,-3.95252516672997e-322,-3.49931167836574e-16,460.357369874877
1804,7.45065229328673,0,4.36727528951203e-18,88.6841067293945,0,0,-3.95252516672997e-322,4.25196254352446e-16,460.357369874877
1805,7.45065229328673,0,-4.00524526935903e-18,88.6841067293945,0,0,-3.95252516672997e-322,-3.89949149847295e-16,460.357369874877
1806,7.45065229328673,0,-1.31883884630266e-20,88.6841067293945,0,0,-3.95252516672997e-322,-1.28401646419923e-18,460.357369874877
1807,7.45065229328673,0,1.60983738176823e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.56733152702376e-16,460.357369874877
1808,7.45065229328673,0,2.64455277416758e-18,88.6841067293945,0,0,-3.95252516672997e-322,2.57472648155199e-16,460.357369874877
1809,7.45065229328673,0,-9.15667236004846e-19,88.6841067293945,0,0,-3.95252516672997e-322,-8.91490124099825e-17,460.357369874877
1810,7.45065229328673,0,-2.80921657841558e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.73504253252733e-16,460.357369874877
1811,7.45065229328673,0,-1.72652412369427e-19,88.6841067293945,0,0,-3.95252516672997e-322,-1.68093729334376e-17,460.357369874877
1812,7.45065229328673,0,1.82016914745875e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.77210973085651e-16,460.357369874877
1813,7.45065229328673,0,-1.45921870057612e-18,88.6841067293945,0,0,-3.95252516672997e-322,-1.42068975421821e-16,460.357369874877
1814,7.45065229328673,0,2.14243469656716e-18,88.6841067293945,0,0,-3.95252516672997e-322,2.08586623875698e-16,460.357369874877
1815,7.45065229328673,0,1.78974114450763e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.74248514338589e-16,460.357369874877
1816,7.45065229328673,0,3.31825367299438e-19,88.6841067293945,0,0,-3.95252516672997e-322,3.2306391038292e-17,460.357369874877
1817,7.45065229328673,0,-4.13687009791901e-18,88.6841067293945,0,0,-3.95252516672997e-322,-4.02764092889216e-16,460.357369874877
1818,7.45065229328673,0,2.71267365844003e-18,88.6841067293945,0,0,-3.95252516672997e-322,2.64104871433036e-16,460.357369874877
1819,7.45065229328673,0,1.08599784024426e-19,88.6841067293945,0,0,-3.95252516672997e-322,1.05732334990566e-17,460.357369874877
1820,7.45065229328673,0,-1.08376806922387e-18,88.6841067293945,0,0,-3.95252516672997e-322,-1.05515245335556e-16,460.357369874877
1821,7.45065229328673,0,-2.92397793540467e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.84677375142564e-16,460.357369874877
1822,7.45065229328673,0,1.59949293181548e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.55726021005455e-16,460.357369874877
1823,7.45065229328673,0,-4.53392793850182e-18,88.6841067293945,0,0,-3.95252516672997e-322,-4.41421492614513e-16,460.357369874877
1824,7.45065229328673,0,-1.08212769812064e-18,88.6841067293945,0,0,-3.95252516672997e-322,-1.05355539431393e-16,460.357369874877
1825,7.45065229328673,0,-3.37325234468204e-19,88.6841067293945,0,0,-3.95252516672997e-322,-3.28418560054791e-17,460.357369874877
1826,7.45065229328673,0,-2.58721498733608e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.51890263126217e-16,460.357369874877
1827,7.45065229328673,0,1.62317683972841e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.58031877235125e-16,460.357369874877
1828,7.45065229328673,0,1.45146567636499e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.41314143945456e-16,460.357369874877
1829,7.45065229328673,0,-1.99631413048314e-18,88.6841067293945,0,0,-3.95252516672997e-322,-1.94360381364265e-16,460.357369874877
1830,7.45065229328673,0,-1.92860115665585e-18,88.6841067293945,0,0,-3.95252516672997e-322,-1.87767872091592e-16,460.357369874877
1831,7.45065229328673,0,4.08663241726767e-18,88.6841067293945,0,0,-3.95252516672997e-322,3.9787297148645e-16,460.357369874877
1832,7.45065229328673,0,6.50663995829407e-19,88.6841067293945,0,0,-3.95252516672997e-322,6.33483981495408e-17,460.357369874877
1833,7.45065229328673,0,-2.51382247026726e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.44744795692529e-16,460.357369874877
1834,7.45065229328673,0,-2.43215969917519e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.36794139485494e-16,460.357369874877
1835,7.45065229328673,0,3.81830838835036e-18,88.6841067293945,0,0,-3.95252516672997e-322,3.71749046502288e-16,460.357369874877
1836,7.45065229328673,0,-1.36171068129447e-18,88.6841067293945,0,0,-3.95252516672997e-322,-1.32575631902247e-16,460.357369874877
1837,7.45065229328673,0,-1.08286246286013e-18,88.6841067293945,0,0,-3.95252516672997e-322,-1.05427075845827e-16,460.357369874877
1838,7.45065229328673,0,1.47267403481508e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.4337898162482e-16,460.357369874877
1839,7.45065229328673,0,-2.5065250099846e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.44034317746263e-16,460.357369874877
1840,7.45065229328673,0,5.81905311720385e-19,88.6841067293945,0,0,-3.95252516672997e-322,5.66540789231873e-17,460.357369874877
1841,7.45065229328673,0,3.00677603773043e-18,88.6841067293945,0,0,-3.95252516672997e-322,2.92738566764935e-16,460.357369874877
1842,7.45065229328673,0,-4.63009583274248e-18,88.6841067293945,0,0,-3.95252516672997e-322,-4.50784362071882e-16,460.357369874877
1843,7.45065229328673,0,6.3435606942077e-18,88.6841067293945,0,0,-3.95252516672997e-322,6.17606646622886e-16,460.357369874877
1844,7.45065229328673,0,-6.96794796343142e-18,88.6841067293945,0,0,-3.95252516672997e-322,-6.7839675270501e-16,460.357369874877
1845,7.45065229328673,0,6.26839264031347e-18,88.6841067293945,0,0,-3.95252516672997e-322,6.10288313601942e-16,460.357369874877
1846,7.45065229328673,0,-1.86419143173904e-18,88.6841067293945,0,0,-3.95252516672997e-322,-1.81496965871352e-16,460.357369874877
1847,7.45065229328673,0,-8.54516172757216e-19,88.6841067293945,0,0,-3.95252516672997e-322,-8.31953682453924e-17,460.357369874877
1848,7.45065229328673,0,-2.47995407494646e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.41447381658219e-16,460.357369874877
1849,7.45065229328673,0,-2.91751725742453e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.84048366001709e-16,460.357369874877
1850,7.45065229328673,0,-2.67643541677866e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.60576730064037e-16,460.357369874877
1851,7.45065229328673,0,1.83915547641454e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.79059474822029e-16,460.357369874877
1852,7.45065229328673,0,-6.15682275800846e-19,88.6841067293945,0,0,-3.95252516672997e-322,-5.99425912468549e-17,460.357369874877
1853,7.45065229328673,0,1.97855293965595e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.92631158608215e-16,460.357369874877
1854,7.45065229328673,0,-3.22597019650849e-18,88.6841067293945,0,0,-3.95252516672997e-322,-3.14079226354722e-16,460.357369874877
1855,7.45065229328673,0,3.9418346924809e-18,88.6841067293945,0,0,-3.95252516672997e-322,3.83775520298532e-16,460.357369874877
1856,7.45065229328673,0,2.93428673151491e-18,88.6841067293945,0,0,-3.95252516672997e-322,2.85681035594994e-16,460.357369874877
1857,7.45065229328673,0,7.72809283823334e-19,88.6841067293945,0,0,-3.95252516672997e-322,7.52404167421269e-17,460.357369874877
1858,7.45065229328673,0,-2.43573171905166e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.37141909976536e-16,460.357369874877
1859,7.45065229328673,0,1.40911179896532e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.37190586616498e-16,460.357369874877
1860,7.45065229328673,0,2.3824184165327e-18,88.6841067293945,0,0,-3.95252516672997e-322,2.31951347203298e-16,460.357369874877
1861,7.45065229328673,0,3.04047963831126e-18,88.6841067293945,0,0,-3.95252516672997e-322,2.96019936446296e-16,460.357369874877
1862,7.45065229328673,0,-1.14401578559995e-18,88.6841067293945,0,0,-3.95252516672997e-322,-1.11380939993714e-16,460.357369874877
1863,7.45065229328673,0,3.67670498776702e-19,88.6841067293945,0,0,-3.95252516672997e-322,3.57962593498925e-17,460.357369874877
1864,7.45065229328673,0,-3.39700861497233e-18,88.6841067293945,0,0,-3.95252516672997e-322,-3.30731461457886e-16,460.357369874877
1865,7.45065229328673,0,-3.01351632107575e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.93394798177364e-16,460.357369874877
1866,7.45065229328673,0,3.08348979769618e-18,88.6841067293945,0,0,-3.95252516672997e-322,3.00207389138707e-16,460.357369874877
1867,7.45065229328673,0,-4.84484381790527e-18,88.6841067293945,0,0,-3.95252516672997e-322,-4.71692143896452e-16,460.357369874877
1868,7.45065229328673,0,5.70224983170747e-18,88.6841067293945,0,0,-3.95252516672997e-322,5.55168865962372e-16,460.357369874877
1869,7.45065229328673,0,-5.16599210829073e-18,88.6841067293945,0,0,-3.95252516672997e-322,-5.02959018803906e-16,460.357369874877
1870,7.45065229328673,0,4.09311258610802e-18,88.6841067293945,0,0,-3.95252516672997e-322,3.98503878250011e-16,460.357369874877
1871,7.45065229328673,0,-5.86385088851682e-18,88.6841067293945,0,0,-3.95252516672997e-322,-5.70902283138922e-16,460.357369874877
1872,7.45065229328673,0,3.22559154392347e-18,88.6841067293945,0,0,-3.95252516672997e-322,3.1404236088365e-16,460.357369874877
1873,7.45065229328673,0,2.98837551394772e-18,88.6841067293945,0,0,-3.95252516672997e-322,2.90947098796493e-16,460.357369874877
1874,7.45065229328673,0,-4.80635546543823e-18,88.6841067293945,0,0,-3.95252516672997e-322,-4.67944932598715e-16,460.357369874877
1875,7.45065229328673,0,3.87238718993613e-19,88.6841067293945,0,0,-3.95252516672997e-322,3.7701413797233e-17,460.357369874877
1876,7.45065229328673,0,-1.1777283742936e-18,88.6841067293945,0,0,-3.95252516672997e-322,-1.14663184754306e-16,460.357369874877
1877,7.45065229328673,0,-2.89724089903788e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.82074267492596e-16,460.357369874877
1878,7.45065229328673,0,1.79661478473848e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.74917729326465e-16,460.357369874877
1879,7.45065229328673,0,1.58112732892409e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.53937952921655e-16,460.357369874877
1880,7.45065229328673,0,-3.56101494921658e-18,88.6841067293945,0,0,-3.95252516672997e-322,-3.46699055526939e-16,460.357369874877
1881,7.45065229328673,0,5.96756785001943e-19,88.6841067293945,0,0,-3.95252516672997e-322,5.81000126901973e-17,460.357369874877
1882,7.45065229328673,0,2.52342762398957e-18,88.6841067293945,0,0,-3.95252516672997e-322,2.45679949790786e-16,460.357369874877
1883,7.45065229328673,0,-6.21721976846562e-18,88.6841067293945,0,0,-3.95252516672997e-322,-6.05306142341427e-16,460.357369874877
1884,7.45065229328673,0,5.78577134551758e-18,88.6841067293945,0,0,-3.95252516672997e-322,5.63300488650593e-16,460.357369874877
1885,7.45065229328673,0,-1.97641839941733e-18,88.6841067293945,0,0,-3.95252516672997e-322,-1.92423340585751e-16,460.357369874877
1886,7.45065229328673,0,-2.96281444063297e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.88458482460179e-16,460.357369874877
1887,7.45065229328673,0,-3.47973715546217e-19,88.6841067293945,0,0,-3.95252516672997e-322,-3.38785880566477e-17,460.357369874877
1888,7.45065229328673,0,-2.82650124866864e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.75187082147666e-16,460.357369874877
1889,7.45065229328673,0,-2.81467366590988e-18,88.6841067293945,0,0,-3.95252516672997e-322,-2.74035553207151e-16,460.357369874877
1890,7.45065229328673,0,1.922333981519e-18,88.6841067293945,0,0,-3.95252516672997e-322,1.87157702313662e-16,460.357369874877
1891,7.45065229328673,0,2.80841780064889e-18,88.6841067293945,0,0,-3.95252516672997e-322,2.73426484554416e-16,460.357369874877
1892,7.45065229328673,0,-1.46541784142974e-18,88.6841067293945,0,0,-3.95252516672997e-322,-1.42672521407917e-16,460.357369874877
1893,7.45065229328673,0,2.46549010919418e-18,88.6841067293945,0,0,-3.95252516672997e-322,2.40039175476273e-16,460.357369874877
1894,7.45065229328673,0,2.74724292330113e-18,88.6841067293945,0,0,-3.95252516672997e-322,2.67470521858131e-16,460.357369874877
1895,7.45065229328673,0,-4.3614062458206e-18,88.6841067293945,0,0,-3.95252516672997e-322,-4.24624846499999e-16,460.357369874877
1896,7.45065229328673,0,3.36805877603637e-18,88.6841067293945,0,0,-3.95252516672997e-322,3.27912916194839e-16,460.357369874877
